Model,Scenario,Dataset,AUC,F1_Score,Brier_Score
Logistic Regression,Original,Test,0.6503401360544219,0.3,0.058145912884072164
Logistic Regression,Original,Train,0.8870469689582318,0.4418604651162791,0.05013212390589701
Random Forest,Original,Test,0.7636054421768708,0.2909090909090909,0.057665719875831245
Random Forest,Original,Train,0.955021940516821,0.6115702479338843,0.04258558343791644
SVM,Original,Test,0.5782312925170068,0.2222222222222222,0.05939946258014181
SVM,Original,Train,0.835730537948968,0.4897959183673469,0.05679097181515401
MLP,Original,Test,0.6187074829931973,0.25,0.061051824871117204
MLP,Original,Train,0.8361571591093775,0.36,0.05424944953920961
Decision Tree,Original,Test,0.7051020408163265,0.3157894736842105,0.05731968464187285
Decision Tree,Original,Train,0.8729887859580693,0.3853211009174312,0.05467868930383241
SGD Classifier,Original,Test,0.6370748299319728,0.2857142857142857,0.058945191725640896
SGD Classifier,Original,Train,0.8653502356574029,0.43478260869565216,0.05148976032791173
Hist Gradient Booster,Original,Test,0.7551020408163265,0.2702702702702703,0.061620748470166825
Hist Gradient Booster,Original,Train,0.9294043555988949,0.5714285714285714,0.042516707532299
LightGBM,Original,Test,0.7241496598639456,0.2564102564102564,0.06012077975435779
LightGBM,Original,Train,0.9981513083048918,0.9176470588235294,0.028192281486121493
Bagging Classifier,Original,Test,0.6081632653061224,0.19047619047619047,0.0628670808530867
Bagging Classifier,Original,Train,1.0,1.0,0.010309484503824158
Logistic Regression,Lasso,Test,0.7183673469387755,0.4,0.05114548191183938
Logistic Regression,Lasso,Train,0.8808508044856168,0.4367816091954023,0.05094214236888091
Random Forest,Lasso,Test,0.7448979591836735,0.3157894736842105,0.057119615501283895
Random Forest,Lasso,Train,0.9502884771656103,0.6,0.041421457572395806
SVM,Lasso,Test,0.6656462585034014,0.26666666666666666,0.062203732240226677
SVM,Lasso,Train,0.7383796522021777,0.3880597014925373,0.05448983723076834
MLP,Lasso,Test,0.7105442176870748,0.25,0.058862425117612395
MLP,Lasso,Train,0.8371119778969608,0.4,0.05483486371008037
Decision Tree,Lasso,Test,0.7306122448979592,0.3333333333333333,0.05635870203826573
Decision Tree,Lasso,Train,0.8555988948480415,0.43478260869565216,0.053798098032212825
SGD Classifier,Lasso,Test,0.727891156462585,0.42857142857142855,0.051665512002840204
SGD Classifier,Lasso,Train,0.8785551763367463,0.4230769230769231,0.05113946766531277
Hist Gradient Booster,Lasso,Test,0.732312925170068,0.29411764705882354,0.059718916192860044
Hist Gradient Booster,Lasso,Train,0.9251381439947993,0.5238095238095238,0.04194586311403654
LightGBM,Lasso,Test,0.7683673469387755,0.3181818181818182,0.057290341571687484
LightGBM,Lasso,Train,0.9931537461400943,0.925,0.025578604206982342
Bagging Classifier,Lasso,Test,0.6710884353741497,0.24242424242424243,0.058698739317570525
Bagging Classifier,Lasso,Train,1.0,1.0,0.013164538192601565
